鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市富陽路1~30號,143.0,商,,,1090430,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,鋼筋混凝土造,0760831,241.51,0,0,0,無,無,無,20000,83,,0.0,0,,RPTOMLLKNHPFFAU47CC
花蓮市,建物,花蓮縣花蓮市福建街190巷1~30號,0.0,住,,,1090428,土地0建物0車位0,一層,2,套房(1房1廳1衛),住家用,鋼筋混凝土造,0640722,17.0,1,1,1,有,無,有,5000,294,,0.0,0,,RPPOMLSKNHPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中美三街61~90號,7.58,住,,,1090518,土地1建物1車位0,見其他登記事項,7,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0820109,97.17,2,2,2,有,無,無,11000,113,,0.0,0,,RPQOMLSKNHPFFAU87CC
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉自立路34巷1~30號,40.05,住,,,1090426,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860627,153.48,3,2,2,有,有,有,14000,91,坡道平面,30.44,0,,RPSNMLSKNHPFFAU08DC
花蓮市,房地(土地+建物),花蓮縣花蓮市成功街31~60號,27.46,住,,,1090517,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070322,72.0,2,2,2,有,無,有,13000,181,,0.0,0,,RPVOMLSKNHPFFAU48DC
花蓮市,建物,花蓮縣花蓮市中央路三段721~750號,0.0,,,,1090516,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,35.17,1,0,1,有,無,有,6200,176,,0.0,0,,RPROMLKLNHPFFAU27CC
